Host,Port,UID,Status,RTT_ms,ResponseHex,Note
127.0.0.6,5020,9,Error,,,conn_refused
127.0.0.4,5020,9,Error,,,conn_refused
127.0.0.17,5020,9,Error,,,conn_refused
127.0.0.18,5020,9,Error,,,conn_refused
127.0.0.19,5020,9,Error,,,conn_refused
127.0.0.20,5020,9,Error,,,conn_refused
127.0.0.13,5020,10,Error,,,conn_refused
127.0.0.8,5020,10,Error,,,conn_refused
127.0.0.14,5020,10,Error,,,conn_refused
127.0.0.4,5020,10,Error,,,conn_refused
127.0.0.11,5020,10,Error,,,conn_refused
127.0.0.7,5020,10,Error,,,conn_refused
127.0.0.6,5020,10,Error,,,conn_refused
127.0.0.2,5020,10,Error,,,conn_refused
127.0.0.16,5020,10,Error,,,conn_refused
127.0.0.12,5020,10,Error,,,conn_refused
127.0.0.9,5020,10,Error,,,conn_refused
127.0.0.3,5020,10,Error,,,conn_refused
127.0.0.17,5020,10,Error,,,conn_refused
127.0.0.18,5020,10,Error,,,conn_refused
127.0.0.19,5020,10,Error,,,conn_refused
127.0.0.20,5020,10,Error,,,conn_refused
127.0.0.13,5020,11,Error,,,conn_refused
127.0.0.8,5020,11,Error,,,conn_refused
127.0.0.2,5020,11,Error,,,conn_refused
127.0.0.6,5020,11,Error,,,conn_refused
127.0.0.7,5020,11,Error,,,conn_refused
127.0.0.14,5020,11,Error,,,conn_refused
127.0.0.16,5020,11,Error,,,conn_refused
127.0.0.9,5020,11,Error,,,conn_refused
127.0.0.3,5020,11,Error,,,conn_refused
127.0.0.11,5020,11,Error,,,conn_refused
127.0.0.12,5020,11,Error,,,conn_refused
127.0.0.4,5020,11,Error,,,conn_refused
127.0.0.17,5020,11,Error,,,conn_refused
127.0.0.18,5020,11,Error,,,conn_refused
127.0.0.19,5020,11,Error,,,conn_refused
127.0.0.20,5020,11,Error,,,conn_refused
127.0.0.13,5020,12,Error,,,conn_refused
127.0.0.7,5020,12,Error,,,conn_refused
127.0.0.11,5020,12,Error,,,conn_refused
127.0.0.4,5020,12,Error,,,conn_refused
127.0.0.8,5020,12,Error,,,conn_refused
127.0.0.14,5020,12,Error,,,conn_refused
127.0.0.6,5020,12,Error,,,conn_refused
127.0.0.3,5020,12,Error,,,conn_refused
127.0.0.12,5020,12,Error,,,conn_refused
127.0.0.16,5020,12,Error,,,conn_refused
127.0.0.9,5020,12,Error,,,conn_refused
127.0.0.2,5020,12,Error,,,conn_refused
127.0.0.17,5020,12,Error,,,conn_refused
127.0.0.18,5020,12,Error,,,conn_refused
127.0.0.19,5020,12,Error,,,conn_refused
127.0.0.20,5020,12,Error,,,conn_refused
127.0.0.13,5020,13,Error,,,conn_refused
127.0.0.9,5020,13,Error,,,conn_refused
127.0.0.14,5020,13,Error,,,conn_refused
127.0.0.11,5020,13,Error,,,conn_refused
127.0.0.3,5020,13,Error,,,conn_refused
127.0.0.4,5020,13,Error,,,conn_refused
127.0.0.7,5020,13,Error,,,conn_refused
127.0.0.16,5020,13,Error,,,conn_refused
127.0.0.8,5020,13,Error,,,conn_refused
127.0.0.12,5020,13,Error,,,conn_refused
127.0.0.6,5020,13,Error,,,conn_refused
127.0.0.2,5020,13,Error,,,conn_refused
127.0.0.17,5020,13,Error,,,conn_refused
127.0.0.19,5020,13,Error,,,conn_refused
127.0.0.18,5020,13,Error,,,conn_refused
127.0.0.20,5020,13,Error,,,conn_refused
127.0.0.13,5020,14,Error,,,conn_refused
127.0.0.3,5020,14,Error,,,conn_refused
127.0.0.11,5020,14,Error,,,conn_refused
127.0.0.4,5020,14,Error,,,conn_refused
127.0.0.6,5020,14,Error,,,conn_refused
127.0.0.8,5020,14,Error,,,conn_refused
127.0.0.14,5020,14,Error,,,conn_refused
127.0.0.7,5020,14,Error,,,conn_refused
127.0.0.16,5020,14,Error,,,conn_refused
127.0.0.12,5020,14,Error,,,conn_refused
127.0.0.2,5020,14,Error,,,conn_refused
127.0.0.9,5020,14,Error,,,conn_refused
127.0.0.17,5020,14,Error,,,conn_refused
127.0.0.19,5020,14,Error,,,conn_refused
127.0.0.18,5020,14,Error,,,conn_refused
127.0.0.20,5020,14,Error,,,conn_refused
127.0.0.13,5020,15,Error,,,conn_refused
127.0.0.14,5020,15,Error,,,conn_refused
127.0.0.16,5020,15,Error,,,conn_refused
127.0.0.12,5020,15,Error,,,conn_refused
127.0.0.3,5020,15,Error,,,conn_refused
127.0.0.7,5020,15,Error,,,conn_refused
127.0.0.4,5020,15,Error,,,conn_refused
127.0.0.9,5020,15,Error,,,conn_refused
127.0.0.2,5020,15,Error,,,conn_refused
127.0.0.11,5020,15,Error,,,conn_refused
127.0.0.8,5020,15,Error,,,conn_refused
127.0.0.6,5020,15,Error,,,conn_refused
127.0.0.17,5020,15,Error,,,conn_refused
127.0.0.18,5020,15,Error,,,conn_refused
127.0.0.19,5020,15,Error,,,conn_refused
127.0.0.20,5020,15,Error,,,conn_refused
127.0.0.13,5020,16,Error,,,conn_refused
127.0.0.7,5020,16,Error,,,conn_refused
127.0.0.16,5020,16,Error,,,conn_refused
127.0.0.3,5020,16,Error,,,conn_refused
127.0.0.8,5020,16,Error,,,conn_refused
127.0.0.6,5020,16,Error,,,conn_refused
127.0.0.12,5020,16,Error,,,conn_refused
127.0.0.9,5020,16,Error,,,conn_refused
127.0.0.2,5020,16,Error,,,conn_refused
127.0.0.4,5020,16,Error,,,conn_refused
127.0.0.11,5020,16,Error,,,conn_refused
127.0.0.14,5020,16,Error,,,conn_refused
127.0.0.17,5020,16,Error,,,conn_refused
